Listing for omni2 data from 19700306 to 19700310
Selected parameters:
 1 Scalar B, nT
 2 BX, nT (GSE, GSM)
 3 BY, nT (GSM)
 4 BZ, nT (GSM)
 5 SW Plasma Temperature, K
 6 SW Proton Density, N/cm^3
 7 SW Plasma Speed, km/s
 8 Flow pressure
 9 E elecrtric field 
10 Plasma Beta

YEAR DOY HR    1     2     3     4        5     6     7     8      9     10 
1970  67 15  31.8  19.2 -17.8  -4.3 1325998.  15.8  747. 17.63   3.21   0.95
1970  67 16  27.0   5.8  -9.8  22.2  894998.  13.8  729. 14.67 -16.18   0.81
1970  67 17  29.4  -6.8  20.3  10.9  578999.  14.0  770. 16.60  -8.39   0.48
1970  67 18  30.5  -5.8  18.7 -18.8  965998.   9.5  815. 12.62  15.32   0.46
1970  67 19  36.4  -1.1   1.4 -18.6 9999999.  50.5  553. 30.89  10.29 999.99
1970  67 20  31.6  12.6 -14.1 -22.3 9999999.  50.5  553. 30.89  12.33 999.99
1970  67 21  15.7   5.3   2.7  -9.0  484999.   6.6  825.  8.98   7.42   0.68
1970  67 22  14.4  -5.2  -5.4   9.0  309999.   5.7  802.  7.33  -7.22   0.50
1970  67 23  12.4  -3.5  -6.1   3.7  542999.   4.5  786.  5.56  -2.91   0.82
1970  68  0   9.4  -1.3  -0.1   6.1  483999.   4.7  807.  6.12  -4.92   1.36
1970  68  1  10.6  -8.0   4.4   0.9 9999999.   3.7  774.  4.43  -0.70 999.99
1970  68  2   9.0  -4.2   5.3  -4.3 9999999.   3.7  774.  4.43   3.33 999.99
1970  68  3   7.6  -5.9  -3.4   0.5 9999999.   2.6  721.  2.70  -0.36 999.99
1970  68  4   8.6  -7.2  -1.5   1.5  270999.   1.9  718.  1.96  -1.08   0.43
1970  68  5   9.4  -7.8  -2.6   3.8  262999.   1.8  725.  1.89  -2.75   0.33
1970  68  6 999.9 999.9 999.9 999.9 9999999.   1.5  697.  1.46 999.99 999.99
1970  68  7   9.0  -7.8   2.4   2.7 9999999.   1.5  697.  1.46  -1.88 999.99
1970  68  8   8.1  -7.7   1.0   0.1   52000.   1.0  669.  0.90  -0.07   0.11
1970  68  9   7.5  -6.8   1.1  -1.5   55000.   1.0  691.  0.95   1.04   0.14
1970  68 10   7.1  -5.4   3.8   0.1 9999999.   1.1  679.  1.01  -0.07 999.99
1970  68 11   7.1  -5.1   4.2  -1.2  187999.   0.7  670.  0.63   0.80   0.18
1970  68 12   7.1  -5.3   3.5  -1.6 9999999.   0.9  647.  0.75   1.04 999.99
1970  68 13   6.6  -5.3   2.6  -1.5 9999999.   0.9  647.  0.75   0.97 999.99
1970  68 14   6.4  -4.7   3.3  -1.1 9999999.   0.9  647.  0.75   0.71 999.99
1970  68 15   6.3  -3.8   3.0  -2.9   96000.   0.7  612.  0.52   1.77   0.16
1970  68 16   6.3  -2.3   3.4  -4.5 9999999.   2.6  626.  2.04   2.82 999.99
1970  68 17   6.8  -4.6   3.4  -1.6 9999999.   2.6  626.  2.04   1.00 999.99
1970  68 18   6.7  -5.5   2.5  -0.3   32000.   1.3  635.  1.05   0.19   0.19
1970  68 19   6.8  -5.7   2.4  -0.9 9999999.   0.9  604.  0.66   0.54 999.99
1970  68 20   6.2  -4.9   2.0   0.4 9999999.   0.9  604.  0.66  -0.24 999.99
1970  68 21   6.1  -4.9   1.9   0.0 9999999.   0.6  590.  0.42   0.00 999.99
1970  68 22   7.0  -5.1   3.5  -1.5 9999999.   0.6  590.  0.42   0.89 999.99
1970  68 23   7.2  -5.4   3.2  -1.3 9999999.   0.6  590.  0.42   0.77 999.99
1970  69  0 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  69  1 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  69  2 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  69  3 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  69  4 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  69  5 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  69  6 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  69  7 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  69  8 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  69  9 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  69 10 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  69 11 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  69 12 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
